FileTitle:,IAS_Spectrum,,151844_M20260202-00081_0_5-1,,
Head:,Reference,Sample,,,
Sample ID,B2500235,,,,
System Temp hundredths:,2495,2507,,,
Detector Temp hundredths:,0,0,,,
Humidity hundredths:,5624,5589,,,
Lamp PD:,92,93,,,
Tec Temp:,0,,,,
Product SN:,8B6YK9LO,,,,
Serial Number:,5B25203,,,,
Scan Config Name:,IAS5100,,,,
Scan Config Type:,2,,,,
Start wavelength in nm:,900,,,,
End wavelength in nm:,1700,,,,
Pattern Pixel Width:,13,,,,
Exposure Time:,0,,,,
Measurement points:,105,,,,
Number of Measurement points:,801,,,,
Num Repeats:,90,90,,,
PGA Gain:,64,64,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original
1318,0.29658481,2848913.589,1439111.585,,
1319,0.29689386,2849797.524,1438534.041,,
1320,0.29723716,2850522.435,1437762.998,,
1321,0.2976153,2851087.48,1436796.43,,
1322,0.2980289,2851491.816,1435632.313,,
1323,0.29847861,2851734.601,1434268.62,,
1324,0.29896508,2851814.991,1432703.328,,
1325,0.299489,2851732.144,1430934.411,,
1326,0.3000511,2851485.204,1428959.836,,
1327,0.30065213,2851072.267,1426776.976,,
1328,0.30129293,2850489.667,1424382.2,,
1329,0.30197437,2849733.565,1421771.78,,
1330,0.30269734,2848800.122,1418941.988,,
1331,0.30346279,2847685.501,1415889.097,,
1332,0.30427169,2846385.864,1412609.378,,
1333,0.30512507,2844897.372,1409099.105,,
1334,0.30602398,2843216.187,1405354.549,,
1335,0.30696953,2841338.444,1401372.02,,
1336,0.30796234,2839259.387,1397149.012,,
1337,0.30900251,2836973.197,1392684.435,,
1338,0.31009012,2834473.997,1387977.284,,
1339,0.3112253,2831755.904,1383026.549,,
1340,0.31240822,2828813.041,1377831.226,,
1341,0.31363912,2825639.527,1372390.305,,
1342,0.31491825,2822229.482,1366702.781,,
1343,0.31624593,2818577.027,1360767.646,,
1344,0.31762243,2814676.882,1354584.536,,
1345,0.31904626,2810533.209,1348163.189,,
1346,0.32051447,2806157.676,1341521.375,,
1347,0.32202406,2801562.159,1334677.089,,
1348,0.32357192,2796758.535,1327648.322,,
1349,0.3251549,2791758.678,1320453.068,,
1350,0.32676977,2786574.465,1313109.32,,
1351,0.32841319,2781217.772,1305635.07,,
1352,0.33008174,2775700.475,1298048.313,,
1353,0.33177199,2770034.504,1290366.83,,
1354,0.33348104,2764232.239,1282606.654,,
1355,0.33520624,2758306.282,1274782.96,,
1356,0.33694484,2752269.237,1266910.915,,
1357,0.33869399,2746133.706,1259005.685,,
1358,0.34045073,2739912.294,1251082.438,,
1359,0.34221201,2733617.603,1243156.342,,
1360,0.34397465,2727262.237,1235242.564,,
1361,0.34573536,2720858.799,1227356.271,,
1362,0.34749141,2714413.913,1219508.037,,
1363,0.34924302,2707907.75,1211688.11,,
1364,0.35099133,2701313.164,1203881.121,,
1365,0.35273758,2694603.011,1196071.698,,
1366,0.35448309,2687750.147,1188244.471,,
1367,0.35622932,2680727.426,1180384.07,,
1368,0.3579778,2673507.705,1172475.124,,
1369,0.35973021,2666063.839,1164502.263,,
1370,0.36148831,2658368.709,1156450.125,,
1371,0.36325416,2650401.793,1148305.794,,
1372,0.36503028,2642157.774,1140061.984,,
1373,0.36681933,2633633.466,1131712.201,,
1374,0.36862406,2624825.686,1123249.951,,
1375,0.3704473,2615731.25,1114668.739,,
1376,0.372292,2606346.973,1105962.071,,
1377,0.37416121,2596669.672,1097123.452,,
1378,0.37605809,2586696.162,1088146.388,,
1379,0.37798594,2576424.233,1079024.834,,
1380,0.37994757,2565883.378,1069767.354,,
1381,0.38194516,2555141.02,1060399.995,,
1382,0.38398067,2544266.816,1050949.832,,
1383,0.38605594,2533330.423,1041443.939,,
1384,0.38817265,2522401.497,1031909.393,,
1385,0.39033229,2511549.696,1022373.269,,
1386,0.39253617,2500844.677,1012862.641,,
1387,0.39478537,2490356.095,1003404.585,,
1388,0.39708107,2480150.455,994024.1909,,
1389,0.3994276,2470261.093,984725.6626,,
1390,0.40183135,2460701.49,975500.7027,,
1391,0.40429888,2451484.861,966340.8451,,
1392,0.40683693,2442624.421,957237.6237,,
1393,0.4094524,2434133.384,948182.5724,,
1394,0.41215234,2426024.965,939167.2251,,
1395,0.41494395,2418312.378,930183.1157,,
1396,0.41783461,2411008.837,921221.7782,,
1397,0.42083159,2404126.681,912274.9747,,
1398,0.42394117,2397674.496,903335.4426,,
1399,0.42716948,2391659.872,894396.1799,,
1400,0.43052276,2386090.395,885450.1843,,
1401,0.4340074,2380973.654,876490.4538,,
1402,0.43762994,2376317.235,867509.9861,,
1403,0.44139705,2372128.727,858501.7791,,
1404,0.4453156,2368415.717,849458.8308,,
1405,0.44939252,2365185.614,840374.1978,,
1406,0.45362915,2362429.533,831246.2705,,
