Batch Number,B2600074,,,,,,
Category,Poultry,,,,,,
Specie,Chicken,,,,,,
Family,Layer Baladi,,,,,,
Brand,FARMFLAKES,,,,,,
Product Code,PPEP250401,,,,,,
Product name,CHICKEN FEED BALADI PRODUCTION 1,,,,,,
NIR-Code,D20260211-00099,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2267,2304,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,5181,5163,,,,,
Lamp PD:,92,93,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
1161,0.08517709,1722864.418,1416035.074,2044601,1621074,,
1162,0.08631854,1726716.878,1415476.286,2034277,1607211,,
1163,0.08743612,1730646.031,1415051.135,2023939,1592988,,
1164,0.08853261,1734218.122,1414396.307,2016018,1580627,,
1165,0.08962444,1736928.747,1413050.094,2000511,1562393,,
1166,0.09072216,1738826.782,1411023.225,1990147,1548203,,
1167,0.09181769,1741258.181,1409436.38,1976709,1531986,,
1168,0.09289787,1745472.919,1409338.256,1961900,1515465,,
1169,0.09395616,1750501.892,1409958.807,1949339,1501352,,
1170,0.09499359,1754356.011,1409691.696,1936650,1487892,,
1171,0.09601203,1756519.51,1408124.151,1923796,1475019,,
1172,0.09700797,1758507.201,1406488.477,1902114,1456510,,
1173,0.09797733,1761610.392,1405829.117,1898607,1452877,,
1174,0.09892873,1765560.288,1405898.014,1889118,1445707,,
1175,0.09987498,1769714.257,1406138.717,1867952,1430040,,
1176,0.10081769,1773996.245,1406484.676,1865262,1429781,,
1177,0.1017485,1778773.456,1407252.873,1853865,1423612,,
