Batch Number,B2500391,,,,,,,
Category,Pet Food,,,,,,,
Specie,Dog,,,,,,,
Family,Healthcare,,,,,,,
Brand,PETFLAKES,,,,,,,
Product Code,DDF040003,,,,,,,
Product name, PETFLAKES Performance - Puppy ,,,,,,,
NIR-Code,M20260202-00085,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,13,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,105,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
1207,0.28435991,2249827.652,1168932.249,,,,,
1208,0.28428676,2256201.769,1172441.48,,,,,
1209,0.28412849,2262619.745,1176205.159,,,,,
1210,0.28388427,2269080.476,1180227.232,,,,,
1211,0.28355337,2275582.925,1184511.532,,,,,
1212,0.28313517,2282126.058,1189061.891,,,,,
1213,0.28262909,2288708.84,1193882.141,,,,,
1214,0.28203465,2295330.235,1198976.116,,,,,
1215,0.28135141,2301989.208,1204347.647,,,,,
1216,0.28057906,2308684.723,1210000.566,,,,,
1217,0.27971731,2315415.73,1215938.679,,,,,
1218,0.27876874,2322174.776,1222154.655,,,,,
1219,0.27774283,2328938.298,1228613.144,,,,,
1220,0.27664993,2335680.238,1235274.456,,,,,
1221,0.27550016,2342374.54,1242098.9,,,,,
1222,0.27430341,2348995.145,1249046.786,,,,,
1223,0.2730693,2355515.997,1256078.424,,,,,
1224,0.27180719,2361911.037,1263154.124,,,,,
1225,0.27052618,2368154.207,1270234.195,,,,,
1226,0.2692351,2374219.452,1277278.947,,,,,
1227,0.26794227,2380082.968,1284250.748,,,,,
1228,0.26665408,2385734.235,1291124.081,,,,,
1229,0.26537619,2391167.574,1297877.847,,,,,
1230,0.26411413,2396377.315,1304490.952,,,,,
1231,0.26287329,2401357.785,1310942.304,,,,,
1232,0.26165898,2406103.314,1317210.811,,,,,
1233,0.2604764,2410608.23,1323275.378,,,,,
1234,0.25933066,2414866.861,1329114.913,,,,,
1235,0.25822679,2418873.536,1334708.323,,,,,
1236,0.25716949,2422627.124,1340037.903,,,,,
1237,0.25615972,2426186.058,1345130.387,,,,,
1238,0.25519598,2429650.69,1350043.789,,,,,
1239,0.25427695,2433122.249,1354836.772,,,,,
1240,0.25340148,2436701.962,1359568.001,,,,,
1241,0.25256857,2440491.056,1364296.141,,,,,
1242,0.25177739,2444590.759,1369079.855,,,,,
1243,0.25102721,2449102.298,1373977.809,,,,,
1244,0.25031742,2454126.901,1379048.666,,,,,
1245,0.2496475,2459763.311,1384349.731,,,,,
1246,0.24901658,2466032.87,1389895.927,,,,,
1247,0.24842332,2472866.25,1395652.529,,,,,
1248,0.24786626,2480188.959,1401581.986,,,,,
1249,0.24734387,2487926.507,1407646.748,,,,,
1250,0.24685452,2496004.403,1413809.263,,,,,
1251,0.24639658,2504348.158,1420031.982,,,,,
1252,0.24596833,2512883.28,1426277.353,,,,,
1253,0.24556805,2521535.279,1432507.825,,,,,
1254,0.24519397,2530229.873,1438685.956,,,,,
1255,0.24484465,2538910.835,1444783.581,,,,,
1256,0.24451913,2547553.708,1450788.868,,,,,
1257,0.24421654,2556137.258,1456691.64,,,,,
1258,0.24393601,2564640.254,1462481.723,,,,,
1259,0.24367667,2573041.466,1468148.942,,,,,
1260,0.24343768,2581319.661,1473683.121,,,,,
1261,0.24321821,2589453.607,1479074.086,,,,,
1262,0.24301743,2597422.074,1484311.661,,,,,
1263,0.24283454,2605203.856,1489385.691,,,,,
1264,0.24266834,2612785.66,1494291.896,,,,,
1265,0.24251674,2620173.291,1499040.181,,,,,
1266,0.24237752,2627375.379,1503642.547,,,,,
1267,0.2422485,2634400.552,1508110.994,,,,,
1268,0.24212755,2641257.439,1512457.525,,,,,
1269,0.24201254,2647954.668,1516694.14,,,,,
1270,0.24190139,2654500.868,1520832.839,,,,,
1271,0.24179204,2660904.667,1524885.625,,,,,
1272,0.24168247,2667174.693,1528864.495,,,,,
1273,0.24157102,2673318.62,1532779.554,,,,,
1274,0.24145726,2679341.241,1536635.186,,,,,
1275,0.24134092,2685246.811,1540434.701,,,,,
1276,0.24122177,2691039.584,1544181.411,,,,,
1277,0.24109957,2696723.815,1547878.626,,,,,
1278,0.24097408,2702303.757,1551529.658,,,,,
1279,0.24084508,2707783.665,1555137.819,,,,,
1280,0.24071233,2713167.793,1558706.418,,,,,
1281,0.2405756,2718460.396,1562238.766,,,,,
1282,0.24043489,2723665.327,1565737.145,,,,,
