Batch Number,B2600074,,,,,
Category,Poultry,,,,,
Specie,Chicken,,,,,
Family,Layer Baladi,,,,,
Brand,FARMFLAKES,,,,,
Product Code,PPEP250401,,,,,
Product name,CHICKEN FEED BALADI PRODUCTION 1,,,,,
NIR-Code,D20260211-00099,,,,,
Serial Number:,5B25203,,,,,
Scan Config Name:,IAS5100,,,,,
Scan Config Type:,2,,,,,
Start wavelength in nm:,900,,,,,
End wavelength in nm:,1700,,,,,
Pattern Pixel Width:,11,,,,,
Exposure Time:,0,,,,,
Measurement points:,420,,,,,
Number of Measurement points:,801,,,,,
Num Repeats:,90,90,,,,
PGA Gain:,64,64,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,
1284,0.08575155,2311134.41,1897027.637,1444165,1235254,
1285,0.08562605,2315421.679,1901096.002,1389834,1187700,
1286,0.08551448,2319833.533,1905207.752,1333775,1138679,
1287,0.08541277,2324405.473,1909409.678,1273033,1085672,
1288,0.08530937,2329986.371,1914449.911,1209697,1030845,
1289,0.08520223,2335767.926,1919673.899,1144724,974755,
1290,0.08510537,2338027.754,1921959.753,1078440,917656,
1291,0.08502782,2334983.766,1919800.235,1011008,859524,
1292,0.08495775,2332683.557,1918218.504,935437,794710,
1293,0.0848826,2337628.557,1922617.556,866098,735594,
1294,0.0848129,2346861.783,1930521.374,788393,669325,
1295,0.08476755,2353401.229,1936102.842,699230,593266,
1296,0.08474637,2355024.92,1937533.137,614392,520959,
1297,0.08473329,2353710.159,1936509.78,522857,443100,
1298,0.08472246,2352300.162,1935397.941,431041,365216,
1299,0.08472573,2354842.094,1937474.808,343824,291060,
1300,0.08475309,2363385.861,1944381.797,262398,221984,
1301,0.08480337,2373033.612,1952093.052,194389,164138,
1302,0.08487314,2378384.739,1956180.695,137662,116038,
1303,0.08495678,2380339.548,1957411.48,93522,78814,
1304,0.0850483,2382293.193,1958605.209,63404,53229,
1305,0.08515554,2385541.641,1960791.697,43352,36235,
1306,0.08529721,2389682.366,1963554.543,31246,26029,
1307,0.08547775,2393154.829,1965590.495,24351,20117,
1308,0.08568078,2392758.189,1964346.18,20443,16738,
1309,0.08589542,2387810.975,1959316.177,18300,15014,
1310,0.08612739,2385139.299,1956078.842,16945,13718,
1311,0.08638229,2390950.727,1959694.344,15903,13009,
1312,0.08666265,2400438.951,1966201.453,15221,12411,
1313,0.08697294,2405426.389,1968879.479,14583,11858,
1314,0.08731502,2404024.544,1966182.722,14247,11405,
1315,0.08768714,2398598.974,1960065.121,13711,11093,
1316,0.08809047,2392972.905,1953652.47,13268,10694,
1317,0.08852848,2392638.891,1951410.676,12996,10560,
1318,0.08899709,2399479.846,1954879.616,12604,10186,
