Batch Number,B2600092,,,,,,
Category,Livestock,,,,,,
Specie,Horse,,,,,,
Family,Pleasure,,,,,,
Brand,FARMFLAKES,,,,,,
Product Code,PHRS250801,,,,,,
Product name,HORSE FEED - SPORT HORSE - 25KG,,,,,,
NIR-Code,D20260216-00112,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2102,2332,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,4778,4172,,,,,
Lamp PD:,93,92,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
1131,0.08902989,1676045.268,1365387.287,2373826,1847316,,
1132,0.08942722,1678398.459,1366053.954,2354162,1831867,,
1133,0.08986268,1681102.193,1366883.281,2353796,1831259,,
1134,0.09033561,1682160.081,1366254.834,2350127,1827561,,
1135,0.09083867,1681924.228,1364481.826,2332586,1813077,,
1136,0.09136052,1681679.078,1362644.619,2337724,1815887,,
1137,0.09189784,1682152.397,1361342.813,2327897,1806845,,
1138,0.09246001,1683296.925,1360506.815,2317095,1797094,,
1139,0.09305471,1684823.693,1359877.385,2308121,1788618,,
1140,0.09367618,1685496.569,1358475.145,2301814,1782174,,
1141,0.09431664,1683863.178,1355158.698,2288362,1770136,,
1142,0.09498252,1680836.897,1350650.727,2280195,1762562,,
1143,0.09569095,1679927.101,1347719.421,2267825,1751588,,
1144,0.09644848,1683478.438,1348214.768,2255051,1740075,,
1145,0.09723922,1688889.647,1350087.917,2242959,1729367,,
1146,0.09804856,1692528.102,1350477.408,2230336,1718130,,
1147,0.09887307,1693222.003,1348468.571,2216944,1706249,,
1148,0.0997142,1691837.361,1344758.863,2191260,1684765,,
1149,0.10057443,1689663.587,1340373.446,2186433,1679275,,
1150,0.10146028,1688966.88,1337090.669,2174415,1668175,,
1151,0.10237428,1691864.771,1336568.94,2145877,1644170,,
1152,0.10331399,1697240.818,1337917.952,2139596,1637055,,
1153,0.10428001,1702078.104,1338749.974,2122122,1621223,,
1154,0.10526655,1704799.818,1337848.2,2104616,1605032,,
1155,0.10624545,1706533.684,1336193.67,2089453,1590522,,
1156,0.1071905,1708529.158,1334848.245,2066957,1570083,,
1157,0.10812242,1710937.842,1333864.807,2063914,1564251,,
1158,0.10908072,1713482.071,1332903.921,2059998,1557268,,
1159,0.11007072,1716106.321,1331905.69,2046435,1542659,,
1160,0.11105474,1719029.006,1331154.488,2052037,1542431,,
1161,0.11200185,1722412.525,1330869.05,2044123,1531672,,
1162,0.1129201,1726132.248,1330926.163,2033911,1518744,,
1163,0.11382718,1729981.447,1331110.976,2023531,1505699,,
1164,0.11473437,1733578.009,1331094.887,2015740,1494526,,
1165,0.11564845,1736403.967,1330461.528,2000191,1477814,,
1166,0.11656785,1738462.845,1329222.121,1989852,1465134,,
1167,0.11746867,1740985.078,1328392.389,1976127,1450532,,
1168,0.11832528,1745118.351,1328922.356,1961710,1435777,,
1169,0.11914368,1749974.814,1330111.728,1949108,1423099,,
