Batch Number,B2500166,,,,,,,
Category,Pet Food,,,,,,,
Specie,Dog,,,,,,,
Family,Healthcare,,,,,,,
Brand,PETFLAKES,,,,,,,
Product Code,DDF040021,,,,,,,
Product name,PETFLAKES Maintenance - Mini Adult Dog 4  Kg,,,,,,,
NIR-Code,M20260202-00080,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2493,2557,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,5481,5420,,,,,,
Lamp PD:,91,92,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,13,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,105,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
1109,0.27155578,2021395.07,1081671.599,,,,,
1110,0.2715558,2018396.013,1080066.715,,,,,
1111,0.27156495,2015464.478,1078475.282,,,,,
1112,0.27158394,2012604.447,1076897.793,,,,,
1113,0.27161464,2009823.031,1075333.519,,,,,
1114,0.27165906,2007127.724,1073781.587,,,,,
1115,0.27171924,2004526.018,1072241.123,,,,,
1116,0.27179722,2002025.408,1070711.25,,,,,
1117,0.27189505,1999633.385,1069191.096,,,,,
1118,0.27201477,1997357.444,1067679.785,,,,,
1119,0.27215846,1995205.078,1066176.443,,,,,
1120,0.27232817,1993183.78,1064680.194,,,,,
1121,0.27252597,1991301.026,1063190.161,,,,,
1122,0.27275367,1989561.841,1061704.775,,,,,
1123,0.27301257,1987966.169,1060221.044,,,,,
1124,0.27330388,1986513.326,1058735.8,,,,,
1125,0.27362884,1985202.627,1057245.872,,,,,
1126,0.27398867,1984033.389,1055748.093,,,,,
1127,0.27438459,1983004.927,1054239.293,,,,,
1128,0.27481784,1982116.556,1052716.304,,,,,
1129,0.27528964,1981367.592,1051175.956,,,,,
1130,0.27580121,1980757.351,1049615.082,,,,,
1131,0.2763538,1980285.146,1048030.528,,,,,
1132,0.27694803,1979950.063,1046420.426,,,,,
1133,0.27758358,1979750.81,1044785.048,,,,,
1134,0.27826003,1979686.06,1043124.865,,,,,
1135,0.27897694,1979754.487,1041440.351,,,,,
1136,0.27973387,1979954.763,1039731.98,,,,,
1137,0.28053037,1980285.561,1038000.226,,,,,
1138,0.28136601,1980745.554,1036245.56,,,,,
1139,0.28224031,1981333.415,1034468.458,,,,,
1140,0.28315282,1982047.816,1032669.392,,,,,
1141,0.28410309,1982887.494,1030848.828,,,,,
1142,0.28509112,1983852.907,1029007.052,,,,,
1143,0.28611739,1984946.406,1027144.147,,,,,
1144,0.28718242,1986170.436,1025260.187,,,,,
1145,0.28828671,1987527.443,1023355.246,,,,,
1146,0.28943077,1989019.875,1021429.397,,,,,
1147,0.29061508,1990650.176,1019482.715,,,,,
1148,0.29184013,1992420.793,1017515.272,,,,,
1149,0.29310639,1994334.173,1015527.144,,,,,
1150,0.29441435,1996392.762,1013518.403,,,,,
1151,0.29576419,1998598.551,1011489.509,,,,,
1152,0.29715335,2000948.811,1009444.916,,,,,
1153,0.29857765,2003438.018,1007391.443,,,,,
1154,0.30003284,2006060.614,1005335.94,,,,,
1155,0.30151465,2008811.038,1003285.259,,,,,
1156,0.3030188,2011683.73,1001246.249,,,,,
1157,0.30454097,2014673.131,999225.7616,,,,,
1158,0.30607684,2017773.68,997230.6464,,,,,
1159,0.30762204,2020979.817,995267.7543,,,,,
1160,0.30917222,2024285.984,993343.9357,,,,,
1161,0.31072329,2027687.034,991465.5596,,,,,
1162,0.31227233,2031179.459,989637.0967,,,,,
1163,0.3138167,2034760.154,987862.55,,,,,
1164,0.31535377,2038426.014,986145.9224,,,,,
1165,0.31688088,2042173.933,984491.2167,,,,,
1166,0.31839539,2046000.805,982902.4358,,,,,
1167,0.31989463,2049903.526,981383.5827,,,,,
1168,0.32137596,2053878.991,979938.6602,,,,,
1169,0.32283671,2057924.093,978571.6711,,,,,
1170,0.32427428,2062035.703,977286.5054,,,,,
1171,0.32568804,2066209.58,976082.0628,,,,,
1172,0.32708012,2070439.964,974950.3956,,,,,
1173,0.32845289,2074720.981,973883.0597,,,,,
