Batch Number,B2600082,,,,,,,
Category,Poultry,,,,,,,
Specie,Chicken,,,,,,,
Family,Layer Baladi,,,,,,,
Brand,FARMFLAKES,,,,,,,
Product Code,PPEG250201 ,,,,,,,
Product name, CHICKEN FEED - BALADI GROWER 1,,,,,,,
NIR-Code,D20260211-00103,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2325,2482,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,4936,4588,,,,,,
Lamp PD:,93,94,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,11,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,420,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
1146,0.05622526,1692653.004,1487108.57,2231704,1868017,,,
1147,0.05728277,1693458.665,1484197.949,2218097,1855626,,,
1148,0.05834673,1692125.975,1479401.182,2192564,1832835,,,
1149,0.05940972,1689869.565,1473816.679,2187822,1827373,,,
1150,0.060491,1689049.612,1469438.458,2175834,1815535,,,
1151,0.06160666,1691894.107,1468136.778,2147210,1789752,,,
1152,0.06274632,1697275.826,1468946.927,2140957,1782250,,,
1153,0.0638918,1702095.744,1469238.115,2123454,1765244,,,
1154,0.06504096,1704742.234,1467633.991,2105854,1747853,,,
1155,0.06620863,1706397.233,1465114.313,2090733,1731961,,,
1156,0.06740314,1708363.944,1462774.071,2068355,1709892,,,
1157,0.06860081,1710782.751,1460811.08,2065088,1703481,,,
1158,0.0697674,1713339.659,1459069.805,2061113,1695699,,,
1159,0.07090349,1715965.904,1457488.592,2047506,1679737,,,
1160,0.07205158,1718895.075,1456122.095,2053151,1679348,,,
1161,0.07323962,1722302.506,1455022.839,2045268,1667126,,,
1162,0.0744299,1726060.818,1454206.865,2035005,1652768,,,
1163,0.0755723,1729955.539,1453659.348,2024640,1638051,,,
1164,0.07666982,1733579.359,1453027.736,2016724,1625098,,,
1165,0.07776795,1736375.523,1451696.084,2001219,1606195,,,
1166,0.07889256,1738339.665,1449579.645,1990816,1591537,,,
1167,0.08001678,1740767.373,1447851.293,1977120,1574650,,,
1168,0.08110699,1744873.823,1447628.213,1962378,1557774,,,
1169,0.08216225,1749774.875,1448171.276,1949883,1542922,,,
1170,0.08320115,1753620.482,1447886.306,1936958,1528915,,,
1171,0.08423466,1755911.775,1446332.123,1923897,1515528,,,
1172,0.08525715,1758012.363,1444657.107,1902417,1496499,,,
1173,0.08626064,1761091.468,1443847.341,1898599,1492371,,,
1174,0.08724473,1764932.03,1443720.945,1889244,1484571,,,
1175,0.08821242,1768985.965,1443816.397,1867919,1468441,,,
1176,0.08916702,1773226.688,1444099.915,1865223,1468087,,,
1177,0.09011094,1778035.21,1444872.126,1853844,1461474,,,
1178,0.09104209,1783071.872,1445861.707,1841623,1455324,,,
1179,0.09195172,1786376.571,1445510.628,1831057,1451038,,,
1180,0.09283569,1786368.63,1442565.022,1813362,1441886,,,
1181,0.09370158,1785626.501,1439093.607,1808708,1443496,,,
1182,0.09455473,1788381.088,1438485.019,1801850,1444003,,,
1183,0.09538977,1795176.325,1441177.079,1786517,1438217,,,
1184,0.09619933,1802212.755,1444131.445,1786621,1445168,,,
1185,0.09698091,1806477.164,1444945.835,1776998,1444663,,,
1186,0.09772829,1808403.922,1443999.85,1766588,1443753,,,
1187,0.0984339,1809204.754,1442294.08,1758055,1444635,,,
1188,0.09910619,1810740.932,1441285.863,1752391,1448182,,,
1189,0.09976159,1815239.008,1442687.372,1741513,1447657,,,
1190,0.10039928,1822916.049,1446663.055,1735948,1452020,,,
1191,0.10099656,1830743.584,1450878.211,1727648,1453957,,,
1192,0.10153911,1836152.123,1453347.783,1718880,1456128,,,
1193,0.10204198,1840036.883,1454737.205,1712262,1459786,,,
1194,0.1025245,1844215.5,1456421.784,1706664,1464716,,,
1195,0.10297637,1849367.03,1458971.269,1701025,1469354,,,
1196,0.10336544,1855269.862,1462317.402,1689468,1468678,,,
1197,0.1036795,1861121.73,1465869.399,1692398,1480121,,,
1198,0.10394766,1864987.304,1468007.328,1690925,1487630,,,
1199,0.10419774,1865583.272,1467631.092,1680202,1486490,,,
1200,0.10441688,1866199.711,1467375.399,1685433,1498686,,,
1201,0.10457661,1871526.26,1471022.511,1683752,1504173,,,
1202,0.10466474,1881304.216,1478407.94,1682039,1509227,,,
1203,0.10468634,1890656.904,1485683.79,1681979,1514816,,,
1204,0.10465044,1896191.663,1490156.192,1676336,1514676,,,
