Batch Number,B2600079,,,,,,,
Category,Poultry,,,,,,,
Specie,Chicken,,,,,,,
Family,Layer Baladi,,,,,,,
Brand,FARMFLAKES,,,,,,,
Product Code,PPEP250401,,,,,,,
Product name,CHICKEN FEED - BALADI PRODUCTION 1,,,,,,,
NIR-Code,D20260211-00101,,,,,,,
,,,,,,,,
,,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2378,2500,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,5041,4625,,,,,,
Lamp PD:,94,93,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,11,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,420,,,,,,,
Number of Measurement points:,801,,,,,,,
1241,0.09280549,2063967.541,1666853.279,1955861,1701567,,,
1242,0.09238174,2064525.359,1668931.396,1963210,1705993,,,
1243,0.09197792,2063970.658,1670035.086,1969444,1709816,,,
1244,0.09158731,2065029.229,1672395.141,1965812,1704683,,,
1245,0.09120509,2070842.666,1678579.882,1979480,1714448,,,
1246,0.09083917,2081060.796,1688284.362,1987304,1719395,,,
1247,0.09050829,2091240.606,1697835.888,1981057,1711712,,,
1248,0.09021561,2098459.879,1704845.643,1994586,1721737,,,
1249,0.08992995,2104340.277,1710747.919,1998297,1723247,,,
1250,0.08962427,2110977.138,1717351.746,2000572,1723333,,,
1251,0.08932075,2118910.664,1725011.107,2003200,1724020,,,
1252,0.08905725,2127992.949,1733456.45,1996113,1716148,,,
1253,0.0888345,2136448.923,1741237.526,2003050,1720693,,,
1254,0.08862241,2141191.176,1745954.971,2006353,1722334,,,
1255,0.08840196,2142490.885,1747901.786,1997186,1713077,,,
1256,0.0881774,2146600.311,1752160.123,2005922,1719604,,,
1257,0.08795795,2158014.585,1762367.284,2002089,1715288,,,
1258,0.0877537,2171886.547,1774530.36,1996147,1709218,,,
1259,0.08757143,2181635.898,1783244.277,1990265,1703863,,,
1260,0.08740925,2186123.09,1787579.489,1984324,1698496,,,
1261,0.08726169,2187252.357,1789110.643,1976198,1691534,,,
1262,0.08711983,2188153.544,1790432.562,1971030,1687622,,,
1263,0.08697093,2193318.034,1795273.73,1963585,1681831,,,
1264,0.08681337,2204471.629,1805057.942,1955683,1675945,,,
1265,0.08666941,2216484.518,1815496.002,1948774,1671215,,,
