Batch Number,B2500392,,,,,,
Category,Pet Food,,,,,,
Specie,Dog,,,,,,
Family,Healthcare,,,,,,
Brand,PETFLAKES,,,,,,
Product Code,DDF040021,,,,,,
Product name,PETFLAKES Maintenance - Mini Adult Dog 4  Kg,,,,,,
NIR-Code,M20260202-00082,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2470,2540,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,5563,5430,,,,,
Lamp PD:,93,93,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,13,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,105,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
1258,0.28416716,2564713.889,1333127.741,,,,
1259,0.28379169,2573136.424,1338662.587,,,,
1260,0.28344146,2581432.581,1344062.066,,,,
1261,0.28311442,2589579.575,1349319.626,,,,
1262,0.28280854,2597554.624,1354428.716,,,,
1263,0.2825218,2605334.973,1359382.798,,,,
1264,0.28225225,2612906.863,1364180.013,,,,
1265,0.28199797,2620278.247,1368829.778,,,,
1266,0.28175708,2627460.284,1373343.181,,,,
1267,0.28152776,2634464.136,1377731.307,,,,
1268,0.2813082,2641300.962,1382005.243,,,,
1269,0.28109662,2647981.925,1386176.075,,,,
1270,0.28089127,2654518.184,1390254.89,,,,
1271,0.28069045,2660920.899,1394252.774,,,,
1272,0.28049245,2667201.232,1398180.812,,,,
1273,0.28029576,2673368.335,1402048.521,,,,
1274,0.28009937,2679425.318,1405860.686,,,,
1275,0.27990238,2685374.158,1409621.204,,,,
1276,0.27970389,2691216.83,1413333.972,,,,
1277,0.27950301,2696955.31,1417002.888,,,,
1278,0.27929887,2702591.574,1420631.85,,,,
1279,0.27909059,2708127.596,1424224.755,,,,
1280,0.27887732,2713565.353,1427785.5,,,,
1281,0.2786582,2718906.821,1431317.983,,,,
1282,0.27843281,2724154.124,1434824.758,,,,
1283,0.27820222,2729309.891,1438303.8,,,,
1284,0.27796778,2734376.861,1441752.104,,,,
1285,0.27773082,2739357.773,1445166.666,,,,
1286,0.27749269,2744255.364,1448544.481,,,,
1287,0.27725469,2749072.372,1451882.545,,,,
1288,0.27701814,2753811.536,1455177.854,,,,
1289,0.27678433,2758475.594,1458427.403,,,,
1290,0.27655455,2763067.284,1461628.189,,,,
1291,0.27633012,2767588.35,1464776.549,,,,
1292,0.27611247,2772037.042,1467866.512,,,,
1293,0.27590306,2776410.843,1470891.599,,,,
1294,0.27570336,2780707.237,1473845.333,,,,
1295,0.27551478,2784923.709,1476721.235,,,,
1296,0.27533877,2789057.743,1479512.827,,,,
1297,0.27517674,2793106.821,1482213.631,,,,
1298,0.27503011,2797068.428,1484817.168,,,,
1299,0.27490028,2800940.048,1487316.96,,,,
1300,0.27478853,2804717.851,1489706.283,,,,
1301,0.27469569,2808393.684,1491977.596,,,,
1302,0.2746225,2811958.508,1494123.194,,,,
1303,0.27456972,2815403.282,1496135.372,,,,
1304,0.2745381,2818718.966,1498006.421,,,,
1305,0.2745284,2821896.521,1499728.638,,,,
1306,0.27454137,2824926.904,1501294.315,,,,
1307,0.2745778,2827801.078,1502695.747,,,,
1308,0.27463845,2830510.004,1503925.229,,,,
1309,0.27472414,2833047.001,1504976.238,,,,
1310,0.27483574,2835412.06,1505845.594,,,,
1311,0.27497416,2837606.345,1506530.708,,,,
1312,0.27514031,2839631.019,1507028.987,,,,
1313,0.27533511,2841487.245,1507337.843,,,,
1314,0.27555951,2843176.187,1507454.682,,,,
1315,0.27581446,2844699.008,1507376.916,,,,
1316,0.27610094,2846056.871,1507101.952,,,,
1317,0.27641994,2847250.939,1506627.198,,,,
1318,0.27677252,2848282.035,1505949.712,,,,
1319,0.27715987,2849150.22,1505065.762,,,,
1320,0.27758322,2849855.452,1503971.505,,,,
1321,0.27804383,2850397.686,1502663.103,,,,
1322,0.27854298,2850776.879,1501136.713,,,,
1323,0.27908198,2850992.987,1499388.494,,,,
1324,0.27966215,2851045.968,1497414.607,,,,
1325,0.28028489,2850935.777,1495211.209,,,,
1326,0.28095159,2850662.355,1492774.458,,,,
1327,0.28166353,2850224.361,1490100.353,,,,
1328,0.2824218,2849618.292,1487184.629,,,,
1329,0.28322749,2848840.436,1484022.995,,,,
1330,0.28408175,2847887.084,1480611.158,,,,
1331,0.28498575,2846754.524,1476944.826,,,,
