Batch Number,B2500406,,,,,,,
Category,Pet Food,,,,,,,
Specie,Dog,,,,,,,
Family,Healthcare,,,,,,,
Brand,PETFLAKES,,,,,,,
Product Code,DDF100001,,,,,,,
Product name,PETFLAKES Maintenance - Adult Dog 10 Kg,,,,,,,
NIR-Code,M20260202-00092,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2487,2548,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,5024,5008,,,,,,
Lamp PD:,93,92,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,13,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,105,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
1050,0.24895285,2257981.316,1272821.481,,,,,
1051,0.24872335,2254399.227,1271473.968,,,,,
1052,0.24849417,2250808.927,1270119.121,,,,,
1053,0.24826481,2247201.031,1268753.101,,,,,
1054,0.24803475,2243566.149,1267372.066,,,,,
1055,0.24780348,2239894.893,1265972.178,,,,,
1056,0.24757048,2236177.876,1264549.597,,,,,
1057,0.24733522,2232405.71,1263100.481,,,,,
1058,0.24709718,2228569.005,1261620.993,,,,,
1059,0.2468558,2224658.376,1260107.292,,,,,
1060,0.2466106,2220665.137,1258555.794,,,,,
1061,0.24636165,2216588.963,1256965.96,,,,,
1062,0.24610941,2212434.996,1255339.243,,,,,
1063,0.24585437,2208208.474,1253677.13,,,,,
1064,0.24559699,2203914.636,1251981.109,,,,,
1065,0.24533777,2199558.72,1250252.667,,,,,
1066,0.24507719,2195145.964,1248493.292,,,,,
1067,0.24481574,2190681.607,1246704.471,,,,,
1068,0.24455393,2186170.885,1244887.691,,,,,
1069,0.24429226,2181619.039,1243044.439,,,,,
1070,0.24403123,2177031.306,1241176.205,,,,,
1071,0.24377136,2172413.297,1239284.726,,,,,
1072,0.2435131,2167771.511,1237372.343,,,,,
1073,0.24325694,2163112.578,1235441.487,,,,,
1074,0.24300336,2158443.131,1233494.586,,,,,
1075,0.24275285,2153769.801,1231534.071,,,,,
1076,0.2425059,2149099.217,1229562.371,,,,,
1077,0.24226302,2144438.013,1227581.916,,,,,
1078,0.2420247,2139792.818,1225595.136,,,,,
1079,0.24179146,2135170.263,1223604.46,,,,,
1080,0.24156383,2130576.981,1221612.319,,,,,
1081,0.2413423,2126019.33,1219621.042,,,,,
1082,0.24112724,2121501.607,1217632.2,,,,,
1083,0.24091894,2117027.155,1215647.01,,,,,
1084,0.2407177,2112599.315,1213666.691,,,,,
1085,0.24052382,2108221.425,1211692.459,,,,,
1086,0.24033759,2103896.826,1209725.534,,,,,
1087,0.24015933,2099628.857,1207767.131,,,,,
1088,0.23998933,2095420.858,1205818.469,,,,,
1089,0.23982791,2091276.169,1203880.765,,,,,
1090,0.23967538,2087198.128,1201955.236,,,,,
1091,0.23953204,2083189.909,1200043.042,,,,,
1092,0.23939788,2079251.005,1198144.061,,,,,
1093,0.2392726,2075377.319,1196256.916,,,,,
1094,0.23915589,2071564.603,1194380.183,,,,,
1095,0.23904742,2067808.611,1192512.434,,,,,
1096,0.23894687,2064105.094,1190652.243,,,,,
1097,0.23885391,2060449.806,1188798.183,,,,,
1098,0.2387682,2056838.499,1186948.828,,,,,
1099,0.23868941,2053266.927,1185102.752,,,,,
1100,0.23861719,2049730.841,1183258.527,,,,,
1101,0.23855122,2046226.051,1181414.744,,,,,
1102,0.23849153,2042751.971,1179571.064,,,,,
1103,0.23843873,2039313.741,1177728.85,,,,,
1104,0.23839351,2035917.004,1175889.616,,,,,
1105,0.23835656,2032567.409,1174054.874,,,,,
1106,0.23832856,2029270.601,1172226.139,,,,,
1107,0.23831021,2026032.226,1170404.923,,,,,
1108,0.2383022,2022857.93,1168592.741,,,,,
1109,0.23830523,2019753.36,1166791.105,,,,,
1110,0.23832001,2016724.162,1165001.529,,,,,
1111,0.23834724,2013775.981,1163225.519,,,,,
1112,0.23838797,2010914.276,1161463.556,,,,,
1113,0.23844397,2008144.129,1159714.023,,,,,
1114,0.23851709,2005470.576,1157975.05,,,,,
1115,0.23860919,2002898.652,1156244.765,,,,,
1116,0.23872215,2000433.392,1154521.296,,,,,
1117,0.23885782,1998079.832,1152802.773,,,,,
