Batch Number,B2600081,,,,,,
Category,Livestock,,,,,,
Specie,Cattle,,,,,,
Family,Dairy,,,,,,
Brand,FARMFLAKES,,,,,,
Product Code,PFDP010802,,,,,,
Product name,FARHAT FEED - DAIRY PRODUCTION COW,,,,,,
NIR-Code,D20260211-00102,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2399,2523,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,4610,4543,,,,,
Lamp PD:,93,92,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
1111,0.1109497,1711942.655,1325987.761,2357755,1654324,,
1112,0.11095398,1709223.807,1323868.824,2379350,1678266,,
1113,0.11096913,1706280.058,1321542.646,2384936,1690736,,
1114,0.11099112,1703682.54,1319464.015,2389516,1702259,,
1115,0.11101817,1701532.969,1317717.142,2394380,1713875,,
1116,0.11104979,1699673.214,1316181.064,2401246,1726452,,
1117,0.11108724,1698052.604,1314812.719,2401494,1733779,,
1118,0.11113548,1696853.902,1313738.642,2406852,1744379,,
1119,0.11119953,1696177.888,1313021.58,2407339,1750718,,
1120,0.111281,1695050.175,1311902.51,2406604,1755929,,
1121,0.11137977,1691905.445,1309170.817,2407047,1761351,,
1122,0.11149721,1686634.888,1304739.687,2406876,1765476,,
1123,0.11163663,1682156.748,1300857.805,2405823,1768880,,
1124,0.11180031,1681334.959,1299732.377,2390686,1761112,,
1125,0.11198637,1683156.265,1300582.992,2399936,1770659,,
1126,0.11219199,1684561.7,1301052.843,2401728,1774505,,
1127,0.11241823,1683742.839,1299743.14,2384320,1763361,,
1128,0.1126716,1681314.43,1297111.604,2391980,1770720,,
1129,0.11295729,1678217.214,1293870.719,2387057,1768128,,
1130,0.11326729,1675814.836,1291096.601,2379769,1763580,,
1131,0.11358662,1675653.784,1290023.659,2373161,1759239,,
1132,0.11391351,1677926.77,1290801.59,2353495,1744804,,
1133,0.1142708,1680566.162,1291768.875,2353272,1744303,,
1134,0.11468128,1681633.894,1291368.459,2349535,1741057,,
1135,0.11514249,1681443.747,1289851.91,2332263,1727499,,
1136,0.11564061,1681204.158,1288189.773,2337410,1730354,,
